inchikey,chemical,company
Error,['(PolyP)-metal'],"['Water Environment Research Foundation [Foundation]', 'Northeastern University [University]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'Division of Information and Intelligent Systems [Unknown]']"
Error,['(PrNH3)6[Mo7O24]'],"['Fuzhou University [University]', 'Natural Science Foundation of Fujian Province [Foundation]']"
Error,['(Pt-S-O)-Ti'],"['Science and Technology Project of Longyan City [Unknown]', 'Natural Science Foundation of Hubei Province [Foundation]', 'Science Fund for Distinguished Young Scholars of Hubei Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Recruitment Program of Global Experts [Unknown]', 'Higher Education Discipline Innovation Project [Unknown]', 'National Engineering Laboratory for Mobile Source Emission Control Technology [Unknown]', 'Knowledge Innovation Program of Wuhan-Shuguang Project [Unknown]']"
Error,['(PuO2)m(citH-k)n(OH)x2m(3+k)n-x'],"['Oak Ridge Institute for Science and Education [Unknown]', 'Arthur J. Schmitt Foundation [Foundation]', 'U.S. Department of Energy [Government]']"
Error,['(S)-2-APA'],['Australian Research Council [Unknown]']
Error,['(S)-2-haloacid'],"['China Scholarship Council [Unknown]', 'University Consortium for Field-Focused Groundwater Research [University]']"
Error,['(SACs)-based peroxymonosulfate'],"['Australian Research Council [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Shandong Province [Foundation]']"
Error,['(SSRIs)-a'],"['Monash University [University]', 'Baylor University [University]', 'Australian Research Council [Unknown]']"
Error,['(Se(IV)O32-) oxyanions'],['Horizon 2020 Framework Programme [Unknown]']
Error,['(Si-)ferrihydrite'],['H2020 European Research Council [Unknown]']
Error,['(Si-)lepidocrocite'],['H2020 European Research Council [Unknown]']
Error,['(Si-O-)Mn-O'],"['Sun Yat-sen University [University]', 'Government of Guangdong Province [Government]', 'Central University Basic Research Fund of China [University]', 'Guangzhou Science and Technology Program key projects [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(T)PU'],['Bundesministerium für Bildung und Forschung [Unknown]']
