inchikey,chemical,company
Error,['2-OH-benzothiazole'],"['Guangzhou Institute of Geochemistry, Chinese Academy of Sciences [University]', 'Basic and Applied Basic Research Foundation of Guangdong Province [Foundation]', 'Youth Innovation Promotion Association of the Chinese Academy of Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Alliance of International Science Organizations [Unknown]', 'State Key Laboratory of Organic Geochemistry, GIGCAS [Unknown]']"
Error,['2-OHNap'],"[""Ministry of Education of the People's Republic of China [Government]"", 'National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,"['2-[(6-chloro-1,1,2,2,3,3,4,4,5,5,6,6-dodecafluorohexyl)oxy]-1,1,2,2-tetrafluoroethanesulfonic acid (6:2 Cl-PFESA)']","['Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]', 'Innovative Research Groups of National Natural Science Foundation of China [Foundation]']"
Error,['2-amino-BTH'],"['Queensland Health [Government]', 'Australian Research Council [Government]', 'Minderoo Foundation [Foundation]', 'University of Queensland [University]']"
Error,"['2-benzotriazol-2-yl-4,6-ditert-butylphenol']","['National Key Research and Development Program of China [Unknown]', 'Key Research and Development Program of Zhejiang Province [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['2-e O2'],"['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['2-isopropylthianthrone'],"['Chinese Academy of Medical Sciences [University]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]']"
Error,['2-line ferrihydrite'],['H2020 European Research Council [Unknown]']
Error,['2-methylimidazole zinc'],"['Fujian Normal University [University]', 'Talent Construction Foundation of Fujian Normal University [University]']"
Error,['2-methyltetrols'],"['Environmental Molecular Sciences Laboratory [Government]', 'U.S. Department of Energy [Government]', 'U.S. Department of Energy [Government]', 'National Science Foundation [Foundation]']"
Error,['201Hg'],['Not Found [Unknown]']
Error,['202Hg(II)'],['Not Found [Unknown]']
Error,['239'],['Not Found [Unknown]']
Error,['2H MoS2'],"['Tianjin Municipal Science and Technology Bureau [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
Error,['2H-PSNP'],"['National Key Research and Development Program of China [Unknown]', 'National Institute of Food and Agriculture [University]', 'China Postdoctoral Science Foundation [Foundation]', 'State Key Laboratory of Pollution Control and Resource Reuse [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,"['3,5-diiodo-2-hydroxybenzonitrile']","['National Key Research and Development Program of China [Unknown]', 'Natural Science Foundation of Qingdao Municipality [Foundation]', 'Taishan Scholar Project of Shandong Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Shandong Province [Foundation]']"
Error,"['3,5-diiodo-4-hydroxy-benzacetonitrle']","['National Postdoctoral Program for Innovative Talents [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]', 'Program of Shanghai Academic Research Leader [Unknown]']"
Error,"['3,5-diiodo-4-hydroxy-benzaldehyde']","['National Postdoctoral Program for Innovative Talents [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]', 'Program of Shanghai Academic Research Leader [Unknown]']"
Error,"['3,6,8-Trichloro-7-hydroxycoumarin']","['Jiangsu Provincial Key Research and Development Program [Unknown]', 'Natural Science Foundation of Jiangsu Province [Foundation]', 'Nanjing Medical University [University]', 'National Natural Science Foundation of China [Foundation]', 'State Administration for Market Regulation [Unknown]']"
Error,"['3,6-dichloro-7-methoxy-4-methylcoumarin']","['Jiangsu Provincial Key Research and Development Program [Unknown]', 'Natural Science Foundation of Jiangsu Province [Foundation]', 'Nanjing Medical University [University]', 'National Natural Science Foundation of China [Foundation]', 'State Administration for Market Regulation [Unknown]']"
Error,"['3-Methylenebutane-1,2,4-triol']","['National Institute of Environmental Health Sciences [University]', 'Division of Atmospheric and Geospace Sciences [Unknown]']"
Error,"['3-methylenebutane-1,2,4-triol']","['National Institute of Environmental Health Sciences [University]', 'Division of Atmospheric and Geospace Sciences [Unknown]']"
Error,"['3-methyltetrahydrofuran-2,4-diol']","['National Institute of Environmental Health Sciences [University]', 'Division of Atmospheric and Geospace Sciences [Unknown]']"
Error,"['3-methyltetrahydrofuran-2,4-diols']","['National Institute of Environmental Health Sciences [University]', 'Division of Atmospheric and Geospace Sciences [Unknown]']"
Error,['37Cl'],['Agence Nationale de la Recherche [Unknown]']
Error,['3Ce3+'],"[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Science Fund for Distinguished Young Scholars of Hubei Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Recruitment Program of Global Experts [Unknown]', 'Higher Education Discipline Innovation Project [Unknown]', 'Hubei International Scientific and Technological Cooperation Base of Pesticide and Green Synthesis [Unknown]', 'National Engineering Laboratory for Mobile Source Emission Control Technology [Unknown]']"
Error,['3Ce4+'],"[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Science Fund for Distinguished Young Scholars of Hubei Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Recruitment Program of Global Experts [Unknown]', 'Higher Education Discipline Innovation Project [Unknown]', 'Hubei International Scientific and Technological Cooperation Base of Pesticide and Green Synthesis [Unknown]', 'National Engineering Laboratory for Mobile Source Emission Control Technology [Unknown]']"
Error,"[""4'-hydroxyethoxy-4-biphenylcarbonitrile""]","['Natural Science Foundation of Tianjin Municipality [Foundation]', 'Nankai University [University]', 'National Key Research and Development Program of China [Unknown]', 'Major Scientific and Technological Innovation Project of Shandong Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Higher Education Discipline Innovation Project [Unknown]']"
Error,"[""4,4'-bis(2-sulfostyryl)biphenyl sodium""]",['Natural Sciences and Engineering Research Council of Canada [Government]']
Error,"[""4,4'-bis(4-propylcyclohexyl) biphenyl""]","['Basic and Applied Basic Research Foundation of Guangdong Province [Foundation]', 'Guangdong Provincial Applied Science and Technology Research and Development Program [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'State Key Laboratory of Organic Geochemistry [Unknown]', 'Chinese Academy of Sciences [Unknown]']"
Error,"['4,4′-DDE']","['Lawrence Livermore National Laboratory [Government]', 'National Oceanic and Atmospheric Administration [Government]', 'National Institute of General Medical Sciences [University]']"
Error,"['4,4′-DDT']","['Lawrence Livermore National Laboratory [Government]', 'National Oceanic and Atmospheric Administration [Government]', 'National Institute of General Medical Sciences [University]']"
Error,"['4,4′-dihydroxybenzophenone']","[""Ag?ncia Catalana de l'Aigua [Unknown]"", 'Agencia Estatal de Investigaci?n [Unknown]', ""Ag?ncia de Gesti? d'Ajuts Universitaris i de Recerca [University]""]"
Error,"['4-(1,1,5-trimethylhexyl)phenol']","['National Key Research and Development Program of China [Unknown]', 'Key Research and Development Program of Zhejiang Province [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['4-OH-E1'],"['Anhui Department of Education [Government]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Anhui Province [Foundation]']"
Error,['4-OH-PCB52'],['National Institute of Environmental Health Sciences [University]']
Error,['4-OPA'],"[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Guangdong Provincial Applied Science and Technology Research and Development Program [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'International Cooperation and Exchange Programme [Unknown]', 'Villum Fonden [Unknown]']"
Error,['4-presol'],['Australian Research Council [Government]']
Error,['4DHB'],"[""Ag?ncia Catalana de l'Aigua [Unknown]"", 'Agencia Estatal de Investigaci?n [Unknown]', ""Ag?ncia de Gesti? d'Ajuts Universitaris i de Recerca [University]""]"
Error,['4F-MIL-88B'],"['Science Fund for Distinguished Young Scholars of Guangdong Province [Unknown]', 'University of New South Wales [University]']"
Error,"['4′,6-diamidino-2-phenylindole']","['Research Grants Council, University Grants Committee [University]', 'Center for Ocean Research in Hong Kong and Macau, Hong Kong University of Science and Technology [University]']"
Error,"[""5'-deoxy-5'-dimethylarsinoyl-adenosine""]","['Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]']"
Error,"['5-hydroxy-2,3-dihydro-1,4-phthalazinedione']","['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['57Fe-mineral'],['European Research Council [Unknown]']
Error,['5α'],['The University of Tokyo FSI?Nippon Foundation Research Project on Marine Plastics [University]']
Error,['5α-cholestan-3β-ol'],['The University of Tokyo FSI?Nippon Foundation Research Project on Marine Plastics [University]']
Error,['5β'],['The University of Tokyo FSI?Nippon Foundation Research Project on Marine Plastics [University]']
Error,['5β +'],['The University of Tokyo FSI?Nippon Foundation Research Project on Marine Plastics [University]']
Error,['5β-cholestanol-3β-ol'],['The University of Tokyo FSI?Nippon Foundation Research Project on Marine Plastics [University]']
Error,"['6-311++G(3df,3pd)']","['China Postdoctoral Science Foundation [Foundation]', 'National Science Fund for Distinguished Young Scholars [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Open Research Fund of CNMGE Platform & NSCC-TJ [Unknown]']"
Error,['6-MHO'],"[""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Guangdong Provincial Applied Science and Technology Research and Development Program [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'International Cooperation and Exchange Programme [Unknown]']"
Error,['6-oxocyclohex-1-ene-carbonyl-CoA'],"['Strategic Environmental Research and Development Program [Unknown]', 'China Scholarship Council [Government]', 'Auburn University [University]', 'Office of International Programs [Unknown]']"
Error,['68ZnO'],"['European Research Council [Unknown]', 'Fulbright Portugal [Unknown]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'Funda??o para a Ci?ncia e a Tecnologia [Unknown]']"
Error,['6:2 fluorotelomer sulfonamide (6:2 FTSAm)'],"['National Key Research and Development Program of China [Unknown]', ""Ministry of Education of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]']"
Error,['6:2 fluorotelomer sulfonamide alkylamine'],"['National Key Research and Development Program of China [Unknown]', ""Ministry of Education of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]']"
Error,['6:2 fluorotelomer sulfonamidoalkyl amines'],['Strategic Environmental Research and Development Program [Unknown]']
Error,['6PPD and'],"['National Key Research and Development Program of China [Unknown]', 'Key Laboratory of Industrial Ecology and Environmental Engineering of the Ministry of Education [Government]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
Error,['6PPD-Q and 6PPD-Q-O-glucuronide'],['National Natural Science Foundation of China [Foundation]']
Error,['7Be'],"['Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Medical Sciences Initiative for Innovative Medicine [Unknown]']"
